repo_owner,repo_project,log_files,log_watch,size_bubble,primary_language,language_entropy
RobertGummesson,BuildTimeAnalyzer-for-Xcode,3.295836866004329,6.220590170099739,40.5,Swift,0.3641026972674102
a5hik,ng-sortable,4.127134385045092,5.181783550292085,30.2,JavaScript,0.1513754714460872
rancher,rancher,3.9318256327243257,7.1252830915107115,47.8,Go,0.5727319371713256
thewei,react-native-store,3.044522437723423,5.220355825078324,50.1,JavaScript,0.0
streamproc,MediaStreamRecorder,3.9512437185814275,5.181783550292085,59.5,JavaScript,0.0527783603720965
MxABC,LBXScan,6.961296045910167,5.991464547107982,55.9,Objective-C,0.0327818637087536
chrisbanes,Android-PullToRefresh,4.859812404361672,6.931471805599453,48.6,Java,0.0
kbastani,spring-cloud-microservice-example,4.51085950651685,5.762051382780177,46.0,Java,0.1513122741680854
apache,thrift,7.655390644826152,6.150602768446279,80.0,C++,2.6442483488387665
MongoEngine,mongoengine,4.700480365792417,5.117993812416755,65.2,Python,0.0
mmozuras,pronto,4.700480365792417,5.241747015059643,87.2,Ruby,0.0
visionmedia,superagent,4.394449154672439,7.451241684987676,55.4,JavaScript,0.3787245880365234
Raizlabs,RZTransitions,4.532599493153256,5.298317366548036,66.3,Objective-C,0.4359913802312416
aFarkas,lazysizes,4.5217885770490405,6.665683717782408,46.9,JavaScript,0.8164468308755825
yiisoft,yii2-app-advanced,5.5254529391317835,5.0689042022202315,55.8,PHP,0.3828992127688837
robbiehanson,CocoaHTTPServer,5.476463551931511,6.049733455231958,66.5,Objective-C,0.0
twitter-fabric,velocity-react,3.367295829986474,6.135564891081739,33.1,JavaScript,0.0
epoberezkin,ajv,5.111987788356544,5.683579767338681,66.4,JavaScript,0.0629413600011717
traildb,traildb,4.736198448394496,6.3080984415095305,84.6,C,0.2463602497616521
AngularClass,NG6-starter,3.9889840465642745,6.3473892096560105,30.8,JavaScript,0.449177420188755
biokoda,actordb,3.6109179126442243,6.063785208687608,53.9,Erlang,0.7196843709540665
jlord,git-it-electron,8.572817095164234,5.84354441703136,100.0,Perl,1.4839908114341664
adad184,MMPulseView,3.044522437723423,5.10594547390058,45.8,Objective-C,0.1530692478813882
astaxie,bat,2.70805020110221,5.225746673713202,54.4,Go,0.0178992383835751
CreateJS,SoundJS,5.459585514144159,5.41610040220442,65.5,JavaScript,0.5673990861495704
argon,node-apn,4.219507705176107,5.869296913133774,58.6,JavaScript,0.0
stitchfix,pyxley,5.2574953720277815,6.182084906716632,58.0,JavaScript,0.0885785971324778
kemayo,sublime-text-git,3.4657359027997265,5.147494476813453,53.7,Python,0.0
airbnb,enzyme,5.1298987149230735,8.051659556841953,59.9,JavaScript,0.0021355885325303
Varying-Vagrant-Vagrants,VVV,3.970291913552122,6.411818267709897,43.0,Shell,0.2569446413110573
carlbutron,Swift,7.107425474110705,6.489204931325317,78.7,Swift,0.0835633389669948
yavski,fab-speed-dial,4.418840607796598,5.3612921657094255,65.1,Java,0.0
web-perf,react-worker-dom,3.6109179126442243,5.170483995038151,50.4,JavaScript,0.2507698488410574
trulia,hologram,4.382026634673881,5.605802066295998,59.3,Ruby,0.1032781950140431
tylingsoft,markdown-plus,4.6443908991413725,5.575949103146316,53.6,JavaScript,0.3129034660155197
kadirahq,react-komposer,3.6888794541139363,5.855071922202427,44.2,JavaScript,0.3088052684831684
taptapship,wiredep,5.25227342804663,5.159055299214529,42.0,JavaScript,0.8200534304888256
arsduo,koala,4.127134385045092,5.117993812416755,68.7,Ruby,0.0
moment,moment,6.234410725718371,7.861341795599989,69.6,JavaScript,0.0202103897080095
Ramotion,expanding-collection,4.700480365792417,7.113142108707088,68.3,Swift,0.1053979822221377
WellCommerce,WellCommerce,8.275885669474356,5.645446897643238,88.2,JavaScript,0.9349437892516134
skyfishjy,android-ripple-background,3.5263605246161616,5.327876168789581,38.6,Java,0.4510826442287708
openalpr,openalpr,6.095824562432225,6.1224928095143865,75.1,C++,0.7741247548650425
TransitApp,SVWebViewController,3.8501476017100584,5.332718793265369,34.6,Objective-C,0.1259801465258414
brendangregg,perf-tools,4.382026634673881,5.840641657373398,62.3,Shell,0.4113392331925671
ericclemmons,npm-install-webpack-plugin,4.007333185232471,6.740519359606223,26.1,JavaScript,0.0561961681964124
commitizen,cz-cli,4.0943445622221,6.056784013228625,43.2,JavaScript,0.1102067487681242
brianwernick,ExoMedia,4.736198448394496,6.180016653652572,55.9,Kotlin,0.0
bmelnychuk,AndroidTreeView,4.174387269895637,5.5093883366279774,51.7,Java,0.0
mesos,chronos,6.061456918928017,5.707110264748875,71.7,Scala,0.6061812301417941
littleark,githut,3.9889840465642745,5.123963979403259,56.6,HTML,0.9974613758569636
milessabin,shapeless,5.313205979041787,5.579729825986222,66.4,Scala,0.0027419892189699
JorgeCastilloPrz,AndroidFillableLoaders,4.465908118654584,5.214935757608986,78.7,Java,0.0
kpdecker,six-speed,4.624972813284271,5.0689042022202315,49.0,JavaScript,0.4872541175951286
kakajika,SwipeAwayDialog,3.828641396489095,6.335054251498059,42.9,Java,0.0
JakeWharton,butterknife,5.117993812416755,8.01532730902172,67.0,Java,0.2878153673503527
renzifeng,ZFZhiHuDaily,5.53338948872752,5.198497031265826,54.8,Objective-C,0.693810115521583
checkstyle,checkstyle,7.489970898834801,5.811140992976701,82.5,Java,0.1139934942507794
JohnCoates,Aerial,3.8501476017100584,7.049254841255837,22.8,Swift,0.0199333621304576
lmgonzalves,segment,3.044522437723423,5.958424693029782,38.3,CSS,1.0683637905478274
goadesign,goa,5.231108616854587,5.717027701406222,68.4,Go,0.0134381155145689
Codeception,CodeceptJS,5.318119993844216,5.204006687076795,55.1,JavaScript,0.2643818483437423
necolas,react-native-web,4.969813299576001,7.050122520269059,65.1,JavaScript,0.5929274563685683
tholman,90s-cursor-effects,1.9459101490553132,5.7430031878094825,43.6,JavaScript,0.0
mojotech,jeet,3.9512437185814275,5.4510384535657,34.7,CSS,0.2231943344663434
spinnaker,spinnaker,5.209486152841421,6.470799503782602,66.5,Shell,0.7802898117049945
PhamBaTho,BTNavigationDropdownMenu,3.367295829986474,6.431331081933479,65.4,Swift,0.1078946609842933
thoughtbot,bourbon,5.049856007249537,6.520621127558696,51.6,Ruby,0.4103596379733845
begriffs,postgrest,4.189654742026425,6.97166860472579,63.1,Haskell,0.230009051127247
devunwired,recyclerview-playground,3.8918202981106265,5.225746673713202,41.6,Java,0.0
iPaulPro,Android-ItemTouchHelper-Demo,3.7376696182833684,5.921578419643816,34.3,Java,0.0
dunglas,DunglasActionBundle,3.4339872044851463,5.123963979403259,40.3,PHP,0.0
aporter,coursera-android,7.501634457883413,5.3706380281276624,70.8,Java,0.5889684435244505
roots,trellis,4.882801922586371,5.846438775057725,58.5,Jinja,0.8437137879291494
adilyalcin,Keshif,6.361302477572996,5.605802066295998,93.1,JavaScript,0.5900432640737997
drupal-composer,drupal-project,2.302585092994046,5.062595033026967,40.7,PHP,0.3744254843509188
schemaorg,schemaorg,6.156978985585555,5.726847747587197,96.6,HTML,0.2162416022562542
johnlui,FireUpYourVPN,3.9318256327243257,5.389071729816501,71.4,Swift,0.0
gjiazhe,Up-Down,3.2188758248682006,5.308267697401205,49.6,Swift,0.0
meefik,linuxdeploy,5.25227342804663,5.153291594497779,65.8,Java,0.5738102136177676
pheuter,essential-react,3.1354942159291497,5.393627546352362,47.7,JavaScript,0.5519206234131036
tiancaiCC,SpringFloatingActionMenu,4.2626798770413155,5.3706380281276624,59.1,Java,0.0
nanoc,nanoc,5.905361848054571,5.147494476813453,64.4,Ruby,0.0
olivierlacan,keep-a-changelog,3.1780538303479458,5.6131281063880705,51.9,Haml,0.1783767037660373
apache,camel,8.808581387699085,5.135798437050262,95.5,Java,0.0712740176650594
joeldev,JLRoutes,2.6390573296152584,6.483107351457199,57.2,Objective-C,0.0346641754473031
Shougo,dein.vim,3.295836866004329,6.220590170099739,61.0,Vim Script,0.3158359102670199
systemjs,systemjs,5.66988092298052,7.349230824613334,53.2,JavaScript,0.1563265574810967
withoutboats,notty,4.290459441148391,5.733341276897746,59.5,Rust,0.0111406989338826
walterhiggins,ScriptCraft,5.278114659230517,5.3612921657094255,76.3,JavaScript,0.1195760919181712
changbenny,scrollbear,3.1354942159291497,6.1779441140506,46.4,JavaScript,0.0
rancher,os,7.633369649679584,6.320768294250582,72.0,Go,0.4499105060720116
Fody,Fody,5.225746673713202,5.288267030694535,83.4,C#,0.0
gorhill,uBlock,5.983936280687191,7.495541943884256,75.6,JavaScript,0.515083996627159
yajra,laravel-datatables,3.9512437185814275,5.6937321388027,56.9,PHP,0.0
jaredhanson,oauth2orize,4.51085950651685,5.459585514144159,60.0,JavaScript,0.005786052740082
rebus007,BottomDialog,4.23410650459726,5.641907070938114,41.9,Java,0.0
wingjay,BlurImageView,3.9889840465642745,5.666426688112432,78.8,Java,0.0
BCsl,CursorWheelLayout,4.290459441148391,5.993961427306569,84.5,Java,0.0
mhinz,vim-startify,3.044522437723423,5.6937321388027,57.6,Vim script,0.0547737312956052
Diolor,Swipecards,3.6635616461296463,5.8944028342648505,30.4,Java,0.0
vakata,jstree,4.820281565605037,5.849324779946859,67.4,JavaScript,0.6111800980083478
facebook,infer,7.403061091090091,6.699500340161678,78.2,OCaml,1.495332242715186
yuche,vue-strap,4.3694478524670215,6.754604099487962,74.3,JavaScript,0.3939937384201167
udacity,Sunshine-Version-2,4.927253685157205,6.93828448401696,63.6,Java,0.0
bendc,animateplus,1.9459101490553132,6.1070228877422545,47.6,JavaScript,0.0
SublimeLinter,SublimeLinter3,5.123963979403259,5.075173815233827,68.7,Python,0.0104141360457435
ltebean,LTNavigationBar,3.258096538021482,6.400257445308821,36.8,Objective-C,0.1779596929031642
trivago,gollum,6.519147287940395,5.71042701737487,70.1,Go,0.0921844387567605
masmu,pulseaudio-dlna,4.174387269895637,5.442417710521793,61.1,Python,0.1360079205481308
phusion,baseimage-docker,3.7376696182833684,6.4692503167957724,58.7,Shell,0.9017610293908412
JustArchi,ArchiSteamFarm,5.1298987149230735,5.932245187448011,78.6,C#,1.1637914492764756
TakWolf,CNode-Material-Design,5.755742213586912,5.3612921657094255,84.6,Java,0.6306811707461392
tchoulihan,torrenttunes-client,7.240649694255466,5.332718793265369,70.4,Java,1.2815300575829156
ericmakesstuff,laravel-server-monitor,3.970291913552122,5.726847747587197,52.3,PHP,0.0
sockeqwe,mosby,6.424869023905388,6.804614520062624,74.0,Java,0.0221061548541774
Automattic,wp-calypso,8.20631072579402,7.029972911706386,84.6,JavaScript,0.9707933815258616
ai,easings.net,3.8066624897703196,5.902633333401366,46.8,CSS,1.3205137260975763
Perspex,Perspex,7.283448228756631,5.713732805509369,73.7,C#,0.0992528861881725
EyalAr,lwip,5.6131281063880705,5.771441123130016,66.7,C,0.839302342467285
ribot,android-boilerplate,4.406719247264253,6.902742737158593,51.5,Java,0.0
flyou,Girls,4.859812404361672,6.049733455231958,51.0,Java,0.0
ipselon,structor,6.635946555686647,6.593044534142437,83.1,JavaScript,0.2862652422333598
tufu9441,maupassant-hexo,3.8918202981106265,5.762051382780177,48.6,SCSS,0.9402860784051372
AlessandroZ,LaZagne,4.804021044733257,5.049856007249537,60.6,Python,0.0
bucaran,fly,4.663439094112067,5.389071729816501,54.9,JavaScript,0.0
VSCodeVim,Vim,4.276666119016055,5.605802066295998,59.2,TypeScript,0.038152441522275
antirez,redis,6.354370040797351,7.830822995135316,73.2,C,0.5048272744527146
luvit,luvit,5.641907070938114,5.4116460518550396,64.9,Lua,0.2637729293581405
substack,tape,4.356708826689592,6.728628613084702,24.1,JavaScript,0.0135371590219362
rustbridge,neon,4.454347296253507,5.860786223465865,57.6,Rust,0.8803243404276563
hugeterry,coderfun,4.844187086458591,5.327876168789581,43.9,Java,0.0
nfnt,resize,2.70805020110221,5.0689042022202315,32.4,Go,0.0
kanflo,aaduino,2.3978952727983707,6.663132695990803,34.3,Arduino,0.0
indexzero,nconf,3.912023005428146,5.799092654460526,45.3,JavaScript,0.0
FredericHeem,starhackit,5.905361848054571,5.3471075307174685,72.6,JavaScript,0.3136411559755319
python-telegram-bot,python-telegram-bot,5.476463551931511,6.476972362889683,62.6,Python,0.0017952871887598
matryer,bitbar,4.189654742026425,8.329103028159418,56.8,Objective-C,0.165886255508886
pyupio,statuspage,2.995732273553991,8.044305406990638,14.8,Python,0.348055276195324
card-io,card.io-Android-SDK,3.1354942159291497,5.356586274672012,99.6,Java,0.0
makovkastar,FloatingActionButton,4.564348191467836,6.115892125483034,50.1,Java,0.0
activeadmin,activeadmin,6.267200548541362,5.8998973535824915,68.7,Ruby,0.9078612099398202
katiefenn,parker,3.9889840465642745,5.332718793265369,52.4,JavaScript,0.0
aimacode,aima-python,4.219507705176107,6.324358962381311,64.3,Jupyter Notebook,0.4646430317838953
marmelroy,Format,3.713572066704308,5.231108616854587,51.6,Swift,0.3915409940736623
spadgos,sublime-jsdocs,3.258096538021482,5.703782474656201,42.8,Python,0.6673369685144932
erikw,tmux-powerline,4.143134726391533,5.262690188904886,54.4,Shell,0.4359650154035236
edx,ux-pattern-library,5.634789603169249,5.3706380281276624,60.3,SCSS,0.9982707184647353
rest-client,rest-client,4.110873864173311,5.7745515455444085,57.1,Ruby,0.0
molnarg,node-http2,3.367295829986474,5.780743515792329,62.5,JavaScript,0.0
producthunt,producthunt-osx,5.0238805208462765,5.971261839790462,81.0,Swift,0.3653098562321779
paralect,robomongo,8.271036865792954,6.634633357861686,81.9,C++,0.7561921666470715
MaxHalford,gago,4.204692619390966,5.117993812416755,63.8,Go,0.0
vim-airline,vim-airline-themes,4.382026634673881,5.272999558563747,52.1,Vim Script,0.0
docker,notary,7.5310163320779155,5.288267030694535,76.1,Go,0.1923273826278204
lancy,CaesarParser,2.9444389791664403,5.652489180268651,31.1,Swift,0.0729155789370962
moroshko,react-autosuggest,4.31748811353631,6.052089168924417,54.7,JavaScript,0.0116806232002404
mgp25,Chat-API,5.017279836814924,6.673297967767654,66.8,PHP,0.0
bitsquare,bitsquare,7.022868086082641,5.123963979403259,74.5,Java,0.1044744566784078
jflesch,paperwork,4.454347296253507,7.1372784372603855,64.4,Python,0.0631898512611169
jprichardson,node-fs-extra,4.804021044733257,5.8888779583328805,46.3,JavaScript,0.0
meanjs,mean,5.267858159063328,6.369900982828227,63.2,JavaScript,0.3733848691932283
ubuntu,ubuntu-make,5.971261839790462,5.181783550292085,74.8,HTML,0.7541755531013067
hkellaway,Gloss,3.9512437185814275,6.139884552226255,63.1,Swift,0.0468343829650029
aws,aws-sdk-ruby,6.921658184151129,5.170483995038151,77.2,Ruby,0.0082403730807457
google,ios-webkit-debug-proxy,3.871201010907891,5.676753802268282,44.9,C,0.1225082915269873
ZhaoKaiQiang,JianDan,5.71042701737487,5.293304824724492,55.8,Java,0.1063427914526989
0xd4d,de4dot,6.175867270105761,5.225746673713202,74.4,C#,0.0030132681020315
angular,angular-phonecat,4.983606621708336,5.8888779583328805,52.1,JavaScript,1.2113456639674578
slevithan,xregexp,4.060443010546419,5.181783550292085,40.9,JavaScript,0.1703746957322663
hyperoslo,Sync,4.836281906951478,5.545177444479562,76.3,Swift,0.0793662339164724
ketoo,NoahGameFrame,7.784889295655098,5.780743515792329,94.8,C++,1.1346274745856737
milkbikis,powerline-shell,3.7376696182833684,5.973809611869261,45.8,Python,0.0
SnapKit,Masonry,5.82600010738045,7.896924656268864,63.0,Objective-C,0.1147667238873325
IonicaBizau,git-stats,2.5649493574615367,5.631211781821365,57.6,HTML,0.4252359983789875
PyMySQL,PyMySQL,4.219507705176107,6.0014148779611505,62.1,Python,0.0
mrackwitz,MRProgress,5.43372200355424,5.3471075307174685,65.5,Objective-C,0.1668273717209611
peers,peerjs-server,2.5649493574615367,5.19295685089021,52.8,TypeScript,0.2633361271830102
nccgroup,featherduster,4.127134385045092,5.4680601411351315,50.3,Python,0.0209055903974056
gmarm,BetterSegmentedControl,5.017279836814924,6.2166061010848646,40.7,Swift,0.1162037540258765
mcollina,pino,3.258096538021482,5.123963979403259,54.7,JavaScript,0.0
js-data,js-data,4.624972813284271,5.327876168789581,58.9,JavaScript,0.507881275143768
kni-labs,rrssb,3.912023005428146,5.123963979403259,43.1,HTML,1.0050590651159026
yyuu,pyenv-virtualenv,3.7612001156935624,5.3471075307174685,49.7,Shell,0.0
johang,btfs,2.5649493574615367,7.356918242356021,40.5,C++,0.6072627820928654
sp4cerat,Planet-LOD,5.978885764901122,5.099866427824199,100.0,C,0.7423613227038544
KeepSafe,ReLinker,4.248495242049359,5.19295685089021,40.8,Java,0.0
M66B,NetGuard,5.963579343618446,5.389071729816501,82.7,Java,0.6490879647213055
ochococo,Design-Patterns-In-Swift,3.7376696182833684,7.026426808699636,38.5,Swift,0.112671237897884
szk-atmosphere,SAHistoryNavigationViewController,4.543294782270004,5.631211781821365,57.7,Swift,0.43739454865939
austinzheng,swift-2048,3.091042453358316,5.214935757608986,38.0,Swift,0.0
driftyco,ng-cordova,6.077642243349034,6.0473721790462776,72.6,JavaScript,0.4096796175959914
cglib,cglib,5.41610040220442,5.356586274672012,68.5,Java,0.0
mikepenz,Android-ActionItemBadge,4.2626798770413155,5.147494476813453,51.3,Java,0.0
mobxjs,mobx-react-devtools,3.4339872044851463,5.652489180268651,40.1,JavaScript,0.0
jishi,node-sonos-http-api,4.127134385045092,5.241747015059643,68.5,JavaScript,0.3545337462073542
thrust,thrust,7.1252830915107115,5.075173815233827,78.1,C++,0.8034916205649377
google,error-prone,7.074963197966044,6.129050210060545,76.9,Java,0.0049624057809389
jschr,textillate,2.3978952727983707,5.493061443340548,36.0,JavaScript,0.0
travisbrown,circe,4.997212273764115,5.393627546352362,62.0,Scala,0.0
hongyangAndroid,AndroidChangeSkin,4.61512051684126,5.560681631015528,66.6,Java,0.0
preboot,angular2-webpack,3.7612001156935624,5.5093883366279774,44.2,JavaScript,0.8529635638672308
variadico,noti,3.5263605246161616,6.502790045915623,48.2,Go,0.8424244169632078
facebook,immutable-js,5.056245805348308,7.994294986415977,87.9,JavaScript,0.8207505624546529
mvdan,interfacer,4.418840607796598,6.0867747269123065,47.3,Go,0.0
google,blockly,6.186208623900494,6.411818267709897,81.8,JavaScript,1.0970271639000635
stealthcopter,AndroidNetworkTools,4.060443010546419,5.983936280687191,48.0,Java,0.2410351311482295
ToxicBakery,ViewPagerTransforms,3.871201010907891,5.459585514144159,47.4,Kotlin,0.0
joeyespo,grip,4.2626798770413155,5.966146739123692,62.9,Python,0.336885288295321
Jasig,cas,7.528331766707247,5.8377304471659395,75.3,Java,0.2958502889764846
fpinscala,fpinscala,6.154858094016418,6.013715156042802,65.4,Scala,0.0
influxdata,influxdb,6.030685260261263,7.114769448366463,74.6,Go,0.0702676347507906
pedrovgs,DraggablePanel,4.499809670330265,5.823045895483019,68.0,Java,0.0
frankiesardo,icepick,4.30406509320417,6.313548046277095,46.1,Clojure,0.3633787414870489
jwilder,docker-squash,2.5649493574615367,5.4116460518550396,5.0,Go,0.1369279859336608
fians,Waves,3.4339872044851463,5.176149732573829,36.5,JavaScript,0.6210617944459063
dimiro1,health,3.912023005428146,5.214935757608986,45.8,Go,0.0
jphp-compiler,jphp,7.718685495198466,5.198497031265826,76.8,Java,0.5941340279501247
ccrama,Slide,6.459904454377535,5.41610040220442,78.4,Java,0.0345284854697387
corin8823,Popover,3.7376696182833684,5.0689042022202315,49.9,Swift,0.515698808249228
MacGapProject,MacGap1,4.3694478524670215,5.37989735354046,59.4,Objective-C,0.4615559761472818
CamDavidsonPilon,Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,5.91350300563827,6.7464121285733745,80.5,Jupyter Notebook,0.0158996092548331
facebook,ios-snapshot-test-case,4.2626798770413155,5.730099782973574,45.5,Objective-C,0.4801618080178863
KhaosT,HAP-NodeJS,3.5263605246161616,5.247024072160486,53.8,TypeScript,0.0557772668040407
HubSpot,vex,3.7612001156935624,6.298949246855942,61.5,CSS,0.7728468616451011
facebook,Haxl,3.8918202981106265,5.755742213586912,48.3,Haskell,0.0
addyosmani,psi,2.9444389791664403,5.267858159063328,44.0,JavaScript,0.0
fitztrev,shuttle,3.912023005428146,5.313205979041787,41.5,Objective-C,0.6740075614438575
elliottminns,blackfish,3.6109179126442243,6.86171134048073,35.0,Swift,0.0
wistityhq,strapi,5.247024072160486,5.940171252720432,60.0,JavaScript,0.0215777406272985
TylerBrock,mongo-hacker,3.2188758248682006,5.176149732573829,48.7,JavaScript,0.1125900325661084
laktak,hjson,4.663439094112067,6.664409020350408,52.0,HTML,0.672134373371454
aacanakin,qb,4.060443010546419,6.154858094016418,54.4,Go,0.0
wenmingvs,AndroidProcess,4.2626798770413155,6.950814768442584,58.0,Java,0.0
alibaba,canal,5.823045895483019,6.113682179832232,71.4,Java,0.3048747788107937
leemunroe,grunt-email-workflow,3.970291913552122,5.19295685089021,48.2,CSS,1.0852674115356389
cgross,angular-busy,4.890349128221754,5.209486152841421,41.3,CSS,1.0309632796458026
spring-projects,spring-loaded,7.107425474110705,5.220355825078324,73.0,Java,0.0691172538084696
Intervention,image,5.356586274672012,6.559615237493242,52.1,PHP,0.0
loganfsmyth,babel-plugin-transform-decorators-legacy,2.3978952727983707,5.123963979403259,36.6,JavaScript,0.0
tj,should.js,3.8066624897703196,5.153291594497779,53.7,JavaScript,0.0
JamesNK,Newtonsoft.Json,6.771935555839602,6.354370040797351,78.0,C#,0.0414699154472826
kataras,iris,4.143134726391533,7.13966033596492,67.4,Go,0.3083020581823647
chef,chef,7.720017940432244,5.958424693029782,86.3,Ruby,0.0912363511715692
dpayne,cli-visualizer,4.110873864173311,5.159055299214529,54.1,C++,0.5650711408816317
pypa,warehouse,6.180016653652572,5.594711379601839,98.3,Python,0.7924429515942957
rogeralsing,gam,3.9889840465642745,6.452048954437226,52.4,Go,0.1362423019281799
letsencrypt,boulder,6.505784060128229,5.545177444479562,74.3,Go,0.259792942877421
defaultnamehere,zzzzz,2.833213344056216,7.01211529430638,39.9,Python,0.6184098921842761
danialfarid,ng-file-upload,4.276666119016055,7.102499355774649,49.6,JavaScript,0.0682190515586654
matbeich,StickyCollectionView,3.6888794541139363,6.828712071641684,45.2,Objective-C,0.0
andrewvy,HHVMCraft,4.564348191467836,5.062595033026967,72.9,PHP,0.0
